Region,City,City / neighborhood,The reference number of the deal,The date of the deal AD,Hijri date of the deal,Real estate classification,Real estate,The number of real estate,the price,Space
Riyadh region,Riyadh,Riyadh/Nammar,20272825,2023/06/22,04/12/1444,residential,piece of ground,1,"925,000","2,205.00"
Riyadh region,Riyadh,Riyadh/Nammar,20272759,2023/06/22,04/12/1444,residential,piece of ground,1,"925,000","2,205.00"
Riyadh region,Riyadh,Riyadh/Yarmouk,20179192,2023/06/13,24/11/1444,residential,piece of ground,1,"925,000",540.00
Riyadh region,Riyadh,Riyadh/Al -Rawabi,20174119,2023/06/13,24/11/1444,residential,piece of ground,1,"924,204",375.00
Riyadh region,Riyadh,Riyadh/ Al -Bayan,20166373,2023/06/11,11/22/1444,residential,piece of ground,1,"922,500",450.00
Riyadh region,Riyadh,Riyadh/Al -Rafiah,19700755,2023/04/03,1244/12/1444,residential,piece of ground,1,"922,005",439.05
Riyadh region,Riyadh,Riyadh/Goodness,20136075,2023/06/07,11/18/1444,residential,piece of ground,1,"920,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,20048668,2023/05/29,09/11/1444,residential,piece of ground,1,"920,000",840.00
Riyadh region,Riyadh,Riyadh/Mahdia,20033819,2023/05/28,08/11/1444,residential,piece of ground,1,"920,000",488.29
Riyadh region,Riyadh,Riyadh/Goodness,20037542,2023/05/28,08/11/1444,residential,piece of ground,1,"920,000",875.00
Riyadh region,Riyadh,Riyadh/Nammar,19984292,2023/05/21,01/11/1444,residential,piece of ground,1,"920,000",900.00
Riyadh region,Riyadh,Riyadh/Nammar,19929071,2023/05/15,10/10/1444,residential,piece of ground,1,"920,000",900.00
Riyadh region,Riyadh,Riyadh/Goodness,19816379,2023/04/27,10/1044/1444,residential,piece of ground,1,"920,000",780.00
Riyadh region,Riyadh,Riyadh/Mahdia,19792574,2023/04/14,09/23/1444,residential,piece of ground,1,"920,000",496.12
Riyadh region,Riyadh,Riyadh/Al -Naseem,19708125,04/04/04/04,13/09/1444,residential,piece of ground,1,"920,000",375.00
Riyadh region,Riyadh,Riyadh/Okaz,19703474,04/04/04/04,13/09/1444,residential,piece of ground,1,"920,000",325.00
Riyadh region,Riyadh,Riyadh/Venus,19697336,2023/04/03,1244/12/1444,residential,piece of ground,1,"920,000",500.00
Riyadh region,Riyadh,Riyadh/Janadriyah,19802490,2023/04/17,26/09/1444,residential,piece of ground,1,"919,822",300.00
Riyadh region,Riyadh,Riyadh/prosperity,19872306,2023/05/08,10/18/1444,residential,piece of ground,1,"918,869",600.00
Riyadh region,Riyadh,Riyadh/Casablanca,20097947,2023/06/04,15/15/1444,residential,piece of ground,1,"918,568",336.00
Riyadh region,Riyadh,Riyadh/Okaz,20245266,2023/06/20,12/12/1444,residential,piece of ground,1,"916,191",721.41
Riyadh region,Riyadh,Riyadh/Al -Suwaidi,20068560,2023/05/31,11/11/1444,residential,piece of ground,1,"916,124",400.00
Riyadh region,Riyadh,Riyadh/Narcissus,19702583,04/04/04/04,13/09/1444,residential,piece of ground,1,"915,693",250.00
Riyadh region,Riyadh,Riyadh/Al -Arja,19747281,2023/04/10,09/1444/1444,residential,piece of ground,1,"915,400",400.00
Riyadh region,Riyadh,Riyadh/Okaz,19990210,2023/05/23,03/11/1444,residential,piece of ground,1,"914,079",770.00
Riyadh region,Riyadh,Riyadh/Gulf,20075835,2023/06/01,11/12/1444,residential,piece of ground,1,"913,500",350.00
Riyadh region,Riyadh,Riyadh/Goodness,19910835,2023/05/11,10/21444,residential,piece of ground,1,"913,410",794.27
Riyadh region,Riyadh,Riyadh/Venus,19905209,2023/05/11,10/21444,residential,piece of ground,1,"910,000",500.00
Riyadh region,Riyadh,Riyadh/Press,20231577,2023/06/20,12/12/1444,residential,piece of ground,1,"908,540",800.00
Riyadh region,Riyadh,Riyadh/Al -Naseem,20269682,2023/06/22,04/12/1444,residential,piece of ground,1,"907,200",378.00
Riyadh region,Riyadh,Riyadh/Al -Naseem,20269885,2023/06/22,04/12/1444,residential,piece of ground,1,"906,200",360.00
Riyadh region,Riyadh,Riyadh/Malaz,20221793,2023/06/19,01/12/1444,residential,piece of ground,1,"905,000",315.00
Riyadh region,Riyadh,Riyadh/Casablanca,20096251,2023/06/04,15/15/1444,residential,piece of ground,1,"901,673",250.00
Riyadh region,Riyadh,Riyadh/Sand,20282876,2023/06/25,12/12/1444,residential,piece of ground,1,"900,000",300.00
Riyadh region,Riyadh,Riyadh/Mahdia,20284128,2023/06/25,12/12/1444,residential,piece of ground,1,"900,000",400.00
Riyadh region,Riyadh,Riyadh/Goodness,20279866,2023/06/24,12/12/1444,residential,piece of ground,1,"900,000",750.00
Riyadh region,Riyadh,Riyadh/Mansoura,20270625,2023/06/22,04/12/1444,residential,piece of ground,1,"900,000",383.75
Riyadh region,Riyadh,Riyadh/Mahdia,20272001,2023/06/22,04/12/1444,residential,piece of ground,1,"900,000",400.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20269082,2023/06/22,04/12/1444,residential,piece of ground,1,"900,000","2,508.00"
Riyadh region,Riyadh,Riyadh/Nammar,20269408,2023/06/22,04/12/1444,residential,piece of ground,1,"900,000",900.00
Riyadh region,Riyadh,Riyadh/Al -Suwaidi,20269382,2023/06/22,04/12/1444,residential,piece of ground,1,"900,000",525.00
Riyadh region,Riyadh,Riyadh/Atika,20267102,2023/06/22,04/12/1444,residential,piece of ground,1,"900,000",308.00
Riyadh region,Riyadh,Riyadh/Nammar,20262873,2023/06/21,12/12/1444,residential,piece of ground,1,"900,000",900.00
Riyadh region,Riyadh,Riyadh/Al -Hazm,20256469,2023/06/21,12/12/1444,residential,piece of ground,1,"900,000",900.00
Riyadh region,Riyadh,Riyadh/Tuwaiq,20264369,2023/06/21,12/12/1444,residential,piece of ground,1,"900,000",960.00
Riyadh region,Riyadh,Riyadh/Al -Farouk,20230006,2023/06/20,12/12/1444,residential,piece of ground,1,"900,000",400.00
Riyadh region,Riyadh,Riyadh/Al -Farouk,20230168,2023/06/20,12/12/1444,residential,piece of ground,1,"900,000",400.00
Riyadh region,Riyadh,Riyadh/milk,20227046,2023/06/20,12/12/1444,residential,piece of ground,1,"900,000",450.00
Riyadh region,Riyadh,Riyadh/Yarmouk,20232087,2023/06/20,12/12/1444,residential,piece of ground,1,"900,000",312.50
Riyadh region,Riyadh,Riyadh/Nasiriyah,20221036,2023/06/19,01/12/1444,residential,piece of ground,1,"900,000",152.03
Riyadh region,Riyadh,Riyadh/Nasiriyah,20221087,2023/06/19,01/12/1444,residential,piece of ground,1,"900,000",145.88
Riyadh region,Riyadh,Riyadh/Al -Badi'ah,20207506,2023/06/19,01/12/1444,residential,piece of ground,1,"900,000",500.00
Riyadh region,Riyadh,Riyadh/Al -Qadisiyah,20203957,2023/06/18,29/11/1444,residential,piece of ground,1,"900,000",375.00
Riyadh region,Riyadh,Riyadh/Al -Qadisiyah,20203993,2023/06/18,29/11/1444,residential,piece of ground,1,"900,000",375.00
Riyadh region,Riyadh,Riyadh/Okaz,20204402,2023/06/18,29/11/1444,residential,piece of ground,1,"900,000",300.00
Riyadh region,Riyadh,Riyadh/Al -Badi'ah,20200632,2023/06/18,29/11/1444,residential,piece of ground,1,"900,000",600.00
Riyadh region,Riyadh,Riyadh/Al -Manar,20204263,2023/06/18,29/11/1444,residential,piece of ground,1,"900,000",287.50
Riyadh region,Riyadh,Riyadh/Al -Mulka,20193702,2023/06/15,26/11/1444,residential,piece of ground,1,"900,000",412.50
Riyadh region,Riyadh,Riyadh/Tunisian,20184039,2023/06/14,11/11/1444,residential,piece of ground,1,"900,000",300.30
Riyadh region,Riyadh,Riyadh/Al -Shifa,20181041,2023/06/13,24/11/1444,residential,piece of ground,1,"900,000",625.00
Riyadh region,Riyadh,Riyadh/Mahdia,20180755,2023/06/13,24/11/1444,residential,piece of ground,1,"900,000",450.00
Riyadh region,Riyadh,Riyadh/Mahdia,20172930,2023/06/12,23/11/1444,residential,piece of ground,2,"900,000",450.00
Riyadh region,Riyadh,Riyadh/Goodness,20174196,2023/06/12,23/11/1444,residential,piece of ground,1,"900,000",780.00
Riyadh region,Riyadh,Riyadh/Umm Al -Hammam,20166378,2023/06/11,11/22/1444,residential,piece of ground,1,"900,000",117.00
Riyadh region,Riyadh,Riyadh/milk,20166591,2023/06/11,11/22/1444,residential,piece of ground,1,"900,000",450.00
Riyadh region,Riyadh,Riyadh/milk,20166657,2023/06/11,11/22/1444,residential,piece of ground,1,"900,000",450.00
Riyadh region,Riyadh,Riyadh/Al -Marafa,20160283,2023/06/11,11/22/1444,residential,piece of ground,1,"900,000",599.74
Riyadh region,Riyadh,Riyadh/Al -Naseem,20144835,2023/06/08,19/11/1444,residential,piece of ground,1,"900,000",360.00
Riyadh region,Riyadh,Riyadh/Al -Naseem,20144761,2023/06/08,19/11/1444,residential,piece of ground,1,"900,000",360.00
Riyadh region,Riyadh,Riyadh/Yarmouk,20123397,2023/06/06,17/11/1444,residential,piece of ground,1,"900,000",200.00
Riyadh region,Riyadh,Riyadh/Goodness,20115003,2023/06/05,16/11/1444,residential,piece of ground,1,"900,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,20114925,2023/06/05,16/11/1444,residential,piece of ground,1,"900,000",765.00
Riyadh region,Riyadh,Riyadh/Goodness,20114778,2023/06/05,16/11/1444,residential,piece of ground,1,"900,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,20107735,2023/06/05,16/11/1444,residential,piece of ground,1,"900,000",750.00
Riyadh region,Riyadh,Riyadh/Badr,20095110,2023/06/04,15/15/1444,residential,piece of ground,1,"900,000",362.70
Riyadh region,Riyadh,Riyadh/East Riyadh,20100551,2023/06/04,15/15/1444,residential,piece of ground,1,"900,000","2,035.00"
Riyadh region,Riyadh,Riyadh/Nammar,20097607,2023/06/04,15/15/1444,residential,piece of ground,1,"900,000",900.00
Riyadh region,Riyadh,Riyadh/Nammar,20077740,2023/06/01,11/12/1444,residential,piece of ground,1,"900,000",873.00
Riyadh region,Riyadh,Riyadh/Goodness,20070965,2023/05/31,11/11/1444,residential,piece of ground,1,"900,000",751.53
Riyadh region,Riyadh,Riyadh/Mahdia,20049272,2023/05/29,09/11/1444,residential,piece of ground,1,"900,000",300.00
Riyadh region,Riyadh,Riyadh/Nammar,20049124,2023/05/29,09/11/1444,residential,piece of ground,1,"900,000",918.00
Riyadh region,Riyadh,Riyadh/Mahdia,20037979,2023/05/28,08/11/1444,residential,piece of ground,1,"900,000",450.00
Riyadh region,Riyadh,Riyadh/Goodness,20033459,2023/05/28,08/11/1444,residential,piece of ground,1,"900,000",750.00
Riyadh region,Riyadh,Riyadh/Al -Shifa,20036316,2023/05/28,08/11/1444,residential,piece of ground,1,"900,000",612.50
Riyadh region,Riyadh,Riyadh/Al -Shifa,20022069,2023/05/25,05/11/1444,residential,piece of ground,1,"900,000",450.00
Riyadh region,Riyadh,Riyadh/Malaz,20023719,2023/05/25,05/11/1444,residential,piece of ground,1,"900,000",440.00
Riyadh region,Riyadh,Riyadh/Nammar,20007225,2023/05/24,04/11/1444,residential,piece of ground,1,"900,000","1,024.00"
Riyadh region,Riyadh,Riyadh/Goodness,20005473,2023/05/23,03/11/1444,residential,piece of ground,1,"900,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19990095,2023/05/22,02/11/1444,residential,piece of ground,1,"900,000",750.00
Riyadh region,Riyadh,Riyadh/Nammar,19988481,2023/05/22,02/11/1444,residential,piece of ground,1,"900,000",750.00
Riyadh region,Riyadh,Riyadh/Nammar,19988256,2023/05/22,02/11/1444,residential,piece of ground,1,"900,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19981198,2023/05/21,01/11/1444,residential,piece of ground,1,"900,000",825.00
Riyadh region,Riyadh,Riyadh/Goodness,19973379,2023/05/20,10/30/1444,residential,piece of ground,1,"900,000",768.00
Riyadh region,Riyadh,Riyadh/Mahdia,19951601,2023/05/17,10/27/1444,residential,piece of ground,1,"900,000",450.00
Riyadh region,Riyadh,Riyadh/Nammar,19939958,2023/05/16,10/26/1444,residential,piece of ground,1,"900,000",330.75
Riyadh region,Riyadh,Riyadh/Al -Suwaidi,19929336,2023/05/16,10/26/1444,residential,piece of ground,1,"900,000",575.00
Riyadh region,Riyadh,Riyadh/ Al -Zahir,19928078,2023/05/16,10/26/1444,residential,piece of ground,1,"900,000",987.60
Riyadh region,Riyadh,Riyadh/ East,19944590,2023/05/16,10/26/1444,residential,piece of ground,1,"900,000","2,206.00"
Riyadh region,Riyadh,Riyadh/Goodness,19890505,2023/05/09,10/19/1444,residential,piece of ground,1,"900,000",838.65
Riyadh region,Riyadh,Riyadh/Goodness,19879950,2023/05/08,10/18/1444,residential,piece of ground,1,"900,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19856676,2023/05/07,17/10/1444,residential,piece of ground,1,"900,000",713.00
Riyadh region,Riyadh,Riyadh/Kindergarten,19847160,04/05/2023,1444/10/1444,residential,piece of ground,1,"900,000",300.00
Riyadh region,Riyadh,Riyadh/Kindergarten,19847238,04/05/2023,1444/10/1444,residential,piece of ground,1,"900,000",300.00
Riyadh region,Riyadh,Riyadh/Nammar,19826134,2023/05/01,10/10/1444,residential,piece of ground,1,"900,000",900.00
Riyadh region,Riyadh,Riyadh/Goodness,19824961,2023/04/30,10/10/1444,residential,piece of ground,1,"900,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19824956,2023/04/30,10/10/1444,residential,piece of ground,1,"900,000",750.00
Riyadh region,Riyadh,Riyadh/ Umm Al -Hamam Al -Gharbi,19804962,2023/04/18,09/27/1444,residential,piece of ground,1,"900,000",400.00
Riyadh region,Riyadh,Riyadh/Azizia,19771708,2023/04/16,09/25/1444,residential,piece of ground,1,"900,000",600.00
Riyadh region,Riyadh,Riyadh/Nammar,19797771,2023/04/16,09/25/1444,residential,piece of ground,1,"900,000",816.38
Riyadh region,Riyadh,Riyadh/Al -Suwaidi,19773426,2023/04/12,09/21/1444,residential,piece of ground,1,"900,000",500.00
Riyadh region,Riyadh,Riyadh/Khalidiya,19769426,2023/04/12,09/21/1444,residential,piece of ground,1,"900,000",400.00
Riyadh region,Riyadh,Riyadh/Spring,19752483,2023/04/10,09/1444/1444,residential,piece of ground,1,"900,000",450.00
Riyadh region,Riyadh,Riyadh/Goodness,19751279,2023/04/10,09/1444/1444,residential,piece of ground,1,"900,000",800.00
Riyadh region,Riyadh,Riyadh/Al -Nahda,19746501,04/04/04,09/18/1444,residential,piece of ground,1,"900,000",750.00
Riyadh region,Riyadh,Riyadh/Nammar,19724041,04/04/04/06,09/15/1444,residential,piece of ground,1,"900,000","2,191.50"
Riyadh region,Riyadh,Riyadh/Kenflilah,19714389,2023/04/05,1444/09/14,residential,piece of ground,1,"900,000",404.00
Riyadh region,Riyadh,Riyadh/Al -Shifa,19691229,2023/04/03,1244/12/1444,residential,piece of ground,1,"900,000",500.00
Riyadh region,Riyadh,Riyadh/Janadriyah,19682660,2023/04/01,10/09/1444,residential,piece of ground,1,"900,000",450.00
Riyadh region,Riyadh,Riyadh/Umm Al -Hammam,20104309,2023/06/05,16/11/1444,residential,piece of ground,1,"900,000",149.50
Riyadh region,Riyadh,Riyadh/Al -Muzali,19979557,2023/05/21,01/11/1444,residential,piece of ground,1,"897,600",352.00
Riyadh region,Riyadh,Riyadh/Goodness,20124646,2023/06/06,17/11/1444,residential,piece of ground,1,"897,420",897.42
Riyadh region,Riyadh,Riyadh/Jasmine,19739481,04/04/04,09/18/1444,residential,piece of ground,1,"897,275",273.00
Riyadh region,Riyadh,Riyadh/Okaz,20242269,2023/06/20,12/12/1444,residential,piece of ground,1,"895,172",704.86
Riyadh region,Riyadh,Riyadh/ race,19993785,2023/05/22,02/11/1444,residential,piece of ground,1,"895,000",350.00
Riyadh region,Riyadh,Riyadh/climate,19962191,2023/05/18,10/28/1444,residential,piece of ground,1,"895,000",387.50
Riyadh region,Riyadh,Riyadh/Sunset,20096386,2023/06/04,15/15/1444,residential,piece of ground,1,"892,709",360.00
Riyadh region,Riyadh,Riyadh/Al -Suwaidi,19751771,2023/04/10,09/1444/1444,residential,piece of ground,1,"892,694",625.00
Riyadh region,Riyadh,Riyadh/Goodness,20124610,2023/06/06,17/11/1444,residential,piece of ground,1,"892,270",892.27
Riyadh region,Riyadh,Riyadh/Tunisian,19936039,2023/05/16,10/26/1444,residential,piece of ground,1,"891,750",400.00
Riyadh region,Riyadh,Riyadh/Al -Naseem,20273895,2023/06/22,04/12/1444,residential,piece of ground,1,"890,000",450.00
Riyadh region,Riyadh,Riyadh/Goodness,19851114,2023/05/06,10/16/1444,residential,piece of ground,1,"890,000",750.00
Riyadh region,Riyadh,Riyadh/Al -Arja,19842482,2023/05/03,13/10/1444,residential,piece of ground,1,"890,000",400.00
Riyadh region,Riyadh,Riyadh/Goodness,19833923,2023/05/02,10/12/1444,residential,piece of ground,1,"890,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19805564,2023/04/18,09/27/1444,residential,piece of ground,1,"890,000",750.00
Riyadh region,Riyadh,Riyadh/Shubra,19692462,04/04/04/02,09/1444/1444,residential,piece of ground,1,"890,000",440.00
Riyadh region,Riyadh,Riyadh/Nammar,19898029,2023/05/10,10/20/1444,residential,piece of ground,1,"888,250",450.00
Riyadh region,Riyadh,Riyadh/Sand,20124737,2023/06/06,17/11/1444,residential,piece of ground,1,"885,000",317.55
Riyadh region,Riyadh,Riyadh/Sand,19764142,2023/04/11,09/1444/1444,residential,piece of ground,1,"882,000",360.00
Riyadh region,Riyadh,Riyadh/ Al -Bayan,19898938,2023/05/10,10/20/1444,residential,piece of ground,1,"880,220",400.01
Riyadh region,Riyadh,Riyadh/Nammar,20232109,2023/06/20,12/12/1444,residential,piece of ground,1,"880,000",399.90
Riyadh region,Riyadh,Riyadh/Al -Arja,20193388,2023/06/15,26/11/1444,residential,piece of ground,1,"880,000",200.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20181673,2023/06/13,24/11/1444,residential,piece of ground,1,"880,000","2,075.00"
Riyadh region,Riyadh,Riyadh/Janadriyah,20125036,2023/06/06,17/11/1444,residential,piece of ground,1,"880,000",350.00
Riyadh region,Riyadh,Riyadh/Goodness,20099150,2023/06/04,15/15/1444,residential,piece of ground,1,"880,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,20099114,2023/06/04,15/15/1444,residential,piece of ground,1,"880,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,20099075,2023/06/04,15/15/1444,residential,piece of ground,1,"880,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,20099039,2023/06/04,15/15/1444,residential,piece of ground,1,"880,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,20099006,2023/06/04,15/15/1444,residential,piece of ground,1,"880,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,20098985,2023/06/04,15/15/1444,residential,piece of ground,1,"880,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,20098924,2023/06/04,15/15/1444,residential,piece of ground,1,"880,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,20098913,2023/06/04,15/15/1444,residential,piece of ground,1,"880,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,20098891,2023/06/04,15/15/1444,residential,piece of ground,1,"880,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,20098871,2023/06/04,15/15/1444,residential,piece of ground,1,"880,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,20098856,2023/06/04,15/15/1444,residential,piece of ground,1,"880,000",749.52
Riyadh region,Riyadh,Riyadh/Goodness,20098826,2023/06/04,15/15/1444,residential,piece of ground,1,"880,000",784.21
Riyadh region,Riyadh,Riyadh/Goodness,20098818,2023/06/04,15/15/1444,residential,piece of ground,1,"880,000",777.00
Riyadh region,Riyadh,Riyadh/Goodness,20098777,2023/06/04,15/15/1444,residential,piece of ground,1,"880,000","1,015.85"
Riyadh region,Riyadh,Riyadh/Janadriyah,20087121,2023/06/02,11/1444/13,residential,piece of ground,1,"880,000",400.00
Riyadh region,Riyadh,Riyadh/Janadriyah,20087174,2023/06/02,11/1444/13,residential,piece of ground,1,"880,000",400.00
Riyadh region,Riyadh,Riyadh/Al -Naseem,19999888,2023/05/23,03/11/1444,residential,piece of ground,1,"880,000",437.50
Riyadh region,Riyadh,Riyadh/Azizia,19981856,2023/05/21,01/11/1444,residential,piece of ground,1,"880,000",234.60
Riyadh region,Riyadh,Riyadh/Goodness,19943924,2023/05/16,10/26/1444,residential,piece of ground,1,"880,000",795.00
Riyadh region,Riyadh,Riyadh/Al -Sely,19881592,2023/05/08,10/18/1444,residential,piece of ground,1,"880,000",375.00
Riyadh region,Riyadh,Riyadh/Badr,19841456,2023/05/03,13/10/1444,residential,piece of ground,1,"880,000",375.00
Riyadh region,Riyadh,Riyadh/Narcissus,19746532,04/04/04,09/18/1444,residential,piece of ground,1,"879,642",292.24
Riyadh region,Riyadh,Riyadh/ Al -Bayan,19873582,2023/05/08,10/18/1444,residential,piece of ground,1,"877,915",399.05
Riyadh region,Riyadh,Riyadh/ Al -Bayan,19963471,2023/05/18,10/28/1444,residential,piece of ground,1,"877,910",399.05
Riyadh region,Riyadh,Riyadh/Okaz,20246556,2023/06/20,12/12/1444,residential,piece of ground,1,"876,795",690.39
Riyadh region,Riyadh,Riyadh/Al -Suwaidi,20196361,2023/06/15,26/11/1444,residential,piece of ground,1,"875,900",500.00
Riyadh region,Riyadh,Riyadh/Goodness,20164808,2023/06/11,11/22/1444,residential,piece of ground,1,"875,000",810.00
Riyadh region,Riyadh,Riyadh/Al -Suwaidi,20051730,2023/05/30,11/11/1444,residential,piece of ground,1,"875,000",300.50
Riyadh region,Riyadh,Riyadh/ Seville,19999292,2023/05/23,03/11/1444,residential,piece of ground,1,"875,000",330.00
Riyadh region,Riyadh,Riyadh/Goodness,19912767,2023/05/12,10/22/1444,residential,piece of ground,1,"875,000",780.00
Riyadh region,Riyadh,Riyadh/Goodness,19912687,2023/05/12,10/22/1444,residential,piece of ground,1,"875,000",780.00
Riyadh region,Riyadh,Riyadh/Casablanca,19836580,2023/05/02,10/12/1444,residential,piece of ground,1,"875,000",625.00
Riyadh region,Riyadh,Riyadh/Casablanca,19836556,2023/05/02,10/12/1444,residential,piece of ground,1,"875,000",625.00
Riyadh region,Riyadh,Riyadh/Goodness,19809006,2023/04/25,10/10/1444,residential,piece of ground,1,"875,000",780.00
Riyadh region,Riyadh,Riyadh/Goodness,19809009,2023/04/25,10/10/1444,residential,piece of ground,1,"875,000",780.00
Riyadh region,Riyadh,Riyadh/Tuwaiq,20178935,2023/06/13,24/11/1444,residential,piece of ground,1,"875,000",450.00
Riyadh region,Riyadh,Riyadh/Yarmouk,20207022,2023/06/19,01/12/1444,residential,piece of ground,1,"874,725",245.00
Riyadh region,Riyadh,Riyadh/Al -Arja,19834264,2023/05/02,10/12/1444,residential,piece of ground,1,"873,787",370.20
Riyadh region,Riyadh,Riyadh/Al -Qadisiyah,20125157,2023/06/06,17/11/1444,residential,piece of ground,1,"873,000",364.00
Riyadh region,Riyadh,Riyadh/Al -Qadisiyah,20125182,2023/06/06,17/11/1444,residential,piece of ground,1,"873,000",364.00
Riyadh region,Riyadh,Riyadh/Okaz,20246141,2023/06/20,12/12/1444,residential,piece of ground,1,"871,868",686.51
Riyadh region,Riyadh,Riyadh/Nammar,20204208,2023/06/18,29/11/1444,residential,piece of ground,1,"870,000",750.00
Riyadh region,Riyadh,Riyadh/Tunisian,20093818,2023/06/04,15/15/1444,residential,piece of ground,1,"870,000",250.00
Riyadh region,Riyadh,Riyadh/Goodness,19985624,2023/05/21,01/11/1444,residential,piece of ground,1,"870,000",732.30
Riyadh region,Riyadh,Riyadh/Goodness,19806204,2023/04/18,09/27/1444,residential,piece of ground,1,"870,000",971.10
Riyadh region,Riyadh,Riyadh/Goodness,19804477,2023/04/17,26/09/1444,residential,piece of ground,1,"870,000",750.00
Riyadh region,Riyadh,Riyadh/Gulf,19716416,2023/04/05,1444/09/14,residential,piece of ground,1,"870,000",350.00
Riyadh region,Riyadh,Riyadh/Jasmine,20178866,2023/06/13,24/11/1444,residential,piece of ground,1,"868,305",801.35
Riyadh region,Riyadh,Riyadh/Okaz,20244920,2023/06/20,12/12/1444,residential,piece of ground,1,"866,927",682.62
Riyadh region,Riyadh,Riyadh/Okaz,20070622,2023/05/31,11/11/1444,residential,piece of ground,1,"866,483",676.94
Riyadh region,Riyadh,Riyadh/Sand,20018874,2023/05/25,05/11/1444,residential,piece of ground,1,"866,400",240.12
Riyadh region,Riyadh,Riyadh/Nammar,19935830,2023/05/16,10/26/1444,residential,piece of ground,1,"864,325",449.00
Riyadh region,Riyadh,Riyadh/Al -Safa,19968253,2023/05/18,10/28/1444,residential,piece of ground,1,"864,000",240.00
Riyadh region,Riyadh,Riyadh/Al -Nahda,20270929,2023/06/22,04/12/1444,residential,piece of ground,1,"862,500",375.00
Riyadh region,Riyadh,Riyadh/Al -Nahda,20270829,2023/06/22,04/12/1444,residential,piece of ground,1,"862,500",375.00
Riyadh region,Riyadh,Riyadh/Goodness,19912909,2023/05/12,10/22/1444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19912893,2023/05/12,10/22/1444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19912889,2023/05/12,10/22/1444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19912861,2023/05/12,10/22/1444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19912830,2023/05/12,10/22/1444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19910575,2023/05/11,10/21444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19910534,2023/05/11,10/21444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19910372,2023/05/11,10/21444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19910833,2023/05/11,10/21444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19910816,2023/05/11,10/21444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19910796,2023/05/11,10/21444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19910778,2023/05/11,10/21444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19910751,2023/05/11,10/21444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19910743,2023/05/11,10/21444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19910723,2023/05/11,10/21444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19910719,2023/05/11,10/21444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19910659,2023/05/11,10/21444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19910590,2023/05/11,10/21444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19910973,2023/05/11,10/21444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19910972,2023/05/11,10/21444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19910966,2023/05/11,10/21444,residential,piece of ground,1,"862,500",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19910959,2023/05/11,10/21444,residential,piece of ground,1,"862,500",750.00
